symbol,ok,bars,days,first,last
NSE:MIDCPNIFTY26SEP14725CE,True,3277,8.0,2026-08-24 10:19:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14725PE,True,2247,5.0,2026-09-02 09:21:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14750CE,True,2621,7.0,2026-08-24 13:53:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14750PE,True,2306,6.0,2026-09-01 14:34:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14775CE,True,3276,10.0,2026-08-21 09:25:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14775PE,True,2319,6.0,2026-09-01 13:53:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14800CE,True,6503,17.0,2026-08-13 12:08:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14800PE,True,5992,15.0,2026-08-19 09:16:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14825CE,True,3457,9.0,2026-08-26 09:16:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14825PE,True,4505,11.0,2026-08-25 09:15:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14850CE,True,4999,13.0,2026-08-21 11:45:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14850PE,True,4461,12.0,2026-08-24 14:24:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14875CE,True,4725,12.0,2026-08-24 10:08:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14875PE,True,4553,12.0,2026-08-24 13:04:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14900CE,True,5421,14.0,2026-08-20 12:44:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14900PE,True,6394,17.0,2026-08-04 15:09:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14925CE,True,6465,17.0,2026-08-17 09:24:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14925PE,True,6343,19.0,2026-08-04 14:15:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14950CE,True,5319,14.0,2026-08-20 12:00:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14950PE,True,4582,13.0,2026-08-05 14:57:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14975CE,True,4132,11.0,2026-08-25 15:01:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP14975PE,True,4281,14.0,2026-08-05 15:15:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15000CE,True,10080,26.0,2026-08-04 09:46:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15000PE,True,9184,25.0,2026-08-05 13:48:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15025CE,True,4088,10.0,2026-08-26 09:49:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15025PE,True,2025,7.0,2026-08-31 10:11:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15050CE,True,4781,12.0,2026-08-24 10:36:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15050PE,True,3114,11.0,2026-08-14 10:35:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15075CE,True,4073,10.0,2026-08-26 09:56:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15075PE,True,2981,10.0,2026-08-26 09:49:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15100CE,True,4135,10.0,2026-08-26 09:15:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15100PE,True,4061,10.0,2026-08-26 09:25:00,2026-09-08 15:30:00
NSE:MIDCPNIFTY26SEP15125CE,True,4074,10.0,2026-08-26 09:47:00,2026-09-08 15:30:00
